#变量导出文件（汇川）
#2025-03-01 13:36:39

#列 A:名称
#列 B:连接（如果为空，则是内部连接）
#列 C:数据类型（取决于连接，有以下几种类型：Int16 、UInt16、Int32、UInt32、Float、Double、Bool、String、WString、DateTime，类型区分大小写。）
#列 D:长度
#列 E:数组计数
#列 F:地址（取决于连接，寄存器名和数字之间的空格不能缺少。）
#列 G:采集周期
#列 H:采集模式（0=根据命令 1=循环使用（默认值） 2=循环连续）
#列 I:上限
#列 J:下限
#列 K:初始值（初始值类型取决于变量数据类型）
#列 L:注释
#列 M:变量组Id
#列 N:索引变量

名称,连接,数据类型,长度,数组计数,地址,采集周期,采集模式,上限,下限,初始值,注释,变量组Id,索引变量
"TPR1_En","Via_Easy521","Bool","1","1","UB 21000A8","100ms","1",,,,,"2","<Undefined>"
"TPR1_PT","Via_Easy521","Int32","4","1","UW 21000D0","100ms","1",,,,,"2","<Undefined>"
"TPR1_Rst","Via_Easy521","Bool","1","1","UB 21000A9","100ms","1",,,,,"2","<Undefined>"
"TPR1_Q","Via_Easy521","Bool","1","1","UB 21000AA","100ms","1",,,,,"2","<Undefined>"
"TPR1_ET","Via_Easy521","Int32","4","1","UW 21000F0","100ms","1",,,,,"2","<Undefined>"
"iConvEn","Via_Easy521","Int16","2","1","UW 21061C0","100ms","1",,,,,"2","<Undefined>"
"iConvDatatype","Via_Easy521","Int16","2","1","UW 21061D0","100ms","1",,,,,"2","<Undefined>"
"bRdCfg","Via_Easy521","Bool","1","1","UB 21000AE","100ms","1",,,,,"2","<Undefined>"
"bRdCfgDone","Via_Easy521","Bool","1","1","UB 21000AF","100ms","1",,,,,"2","<Undefined>"
"iDevType","Via_Easy521","Int16","2","1","UW 21069E0","100ms","1",,,,,"2","<Undefined>"
"bWrCfg","Via_Easy521","Bool","1","1","UB 21000C2","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[0]","Via_Easy521","Int16","2","1","UW 21069F0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[1]","Via_Easy521","Int16","2","1","UW 2106A00","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[2]","Via_Easy521","Int16","2","1","UW 2106A10","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[3]","Via_Easy521","Int16","2","1","UW 2106A20","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[4]","Via_Easy521","Int16","2","1","UW 2106A30","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[5]","Via_Easy521","Int16","2","1","UW 2106A40","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[6]","Via_Easy521","Int16","2","1","UW 2106A50","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[7]","Via_Easy521","Int16","2","1","UW 2106A60","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[8]","Via_Easy521","Int16","2","1","UW 2106A70","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[9]","Via_Easy521","Int16","2","1","UW 2106A80","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[10]","Via_Easy521","Int16","2","1","UW 2106A90","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[11]","Via_Easy521","Int16","2","1","UW 2106AA0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[12]","Via_Easy521","Int16","2","1","UW 2106AB0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[13]","Via_Easy521","Int16","2","1","UW 2106AC0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[14]","Via_Easy521","Int16","2","1","UW 2106AD0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[15]","Via_Easy521","Int16","2","1","UW 2106AE0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[16]","Via_Easy521","Int16","2","1","UW 2106AF0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[17]","Via_Easy521","Int16","2","1","UW 2106B00","100ms","1",,,,,"2","<Undefined>"
