序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,TPR1_En,BOOL,,OFF,不保持,私有,,,
2,TPR1_PT,DINT,,0,不保持,私有,,,
3,TPR1_Rst,BOOL,,OFF,不保持,私有,,,
4,TPR1_Q,BOOL,,OFF,不保持,私有,,,
5,TPR1_ET,DINT,,0,不保持,私有,,,
6,iAOCalStatus,INT,,0,不保持,私有,,,
7,iAICalStatus,INT,,0,不保持,私有,,,
8,iConvEn,INT,,0,不保持,私有,,,
9,iConvDatatype,INT,,0,不保持,私有,,,
10,bRdCfg,BOOL,,OFF,不保持,私有,,,
11,bRdCfgDone,BOOL,,OFF,不保持,私有,,,
12,iDevType,INT,,0,不保持,私有,,,
13,bWrCfg,BOOL,,OFF,不保持,私有,,,
14,iWrBuf,INT[128],,...,不保持,私有,,,
,iWrBuf[0],INT,,0,,,,,
,iWrBuf[1],INT,,0,,,,,
,iWrBuf[2],INT,,0,,,,,
,iWrBuf[3],INT,,0,,,,,
,iWrBuf[4],INT,,0,,,,,
,iWrBuf[5],INT,,0,,,,,
,iWrBuf[6],INT,,0,,,,,
,iWrBuf[7],INT,,0,,,,,
,iWrBuf[8],INT,,0,,,,,
,iWrBuf[9],INT,,0,,,,,
,iWrBuf[10],INT,,0,,,,,
,iWrBuf[11],INT,,0,,,,,
,iWrBuf[12],INT,,0,,,,,
,iWrBuf[13],INT,,0,,,,,
,iWrBuf[14],INT,,0,,,,,
,iWrBuf[15],INT,,0,,,,,
,iWrBuf[16],INT,,0,,,,,
,iWrBuf[17],INT,,0,,,,,
,iWrBuf[18],INT,,0,,,,,
,iWrBuf[19],INT,,0,,,,,
,iWrBuf[20],INT,,0,,,,,
,iWrBuf[21],INT,,0,,,,,
,iWrBuf[22],INT,,0,,,,,
,iWrBuf[23],INT,,0,,,,,
,iWrBuf[24],INT,,0,,,,,
,iWrBuf[25],INT,,0,,,,,
,iWrBuf[26],INT,,0,,,,,
,iWrBuf[27],INT,,0,,,,,
,iWrBuf[28],INT,,0,,,,,
,iWrBuf[29],INT,,0,,,,,
,iWrBuf[30],INT,,0,,,,,
,iWrBuf[31],INT,,0,,,,,
,iWrBuf[32],INT,,0,,,,,
,iWrBuf[33],INT,,0,,,,,
,iWrBuf[34],INT,,0,,,,,
,iWrBuf[35],INT,,0,,,,,
,iWrBuf[36],INT,,0,,,,,
,iWrBuf[37],INT,,0,,,,,
,iWrBuf[38],INT,,0,,,,,
,iWrBuf[39],INT,,0,,,,,
,iWrBuf[40],INT,,0,,,,,
,iWrBuf[41],INT,,0,,,,,
,iWrBuf[42],INT,,0,,,,,
,iWrBuf[43],INT,,0,,,,,
