#变量导出文件（汇川）
#2025-06-18 18:04:23
#AutoShop:EasyMonitor{EB94048B-7C2C-4d7a-A080-A272E8B0B981}
#列A:名称
#列B:连接（如果为空，则是内部连接）
#列C:数据类型（取决于连接，有以下几种类型：Int16 、UInt16、Int32、UInt32、Float、Double、Bool、String、WString、DateTime，类型区分大小写。）
#列D:长度
#列E:数组计数
#列F:地址（取决于连接，寄存器名和数字之间的空格不能缺少。）
#列G:采集周期
#列H:采集模式（=根据命令1=循环使用（默认值）2=循环连续）
#列I:上限
#列J:下限
#列K:初始值（初始值类型取决于变量数据类型）
#列L:注释
#列M:变量组Id

名称,连接,数据类型,长度,数组计数,地址,采集周期,采集模式,上限,下限,初始值,注释,变量组Id
"TPR1_En",,"Bool","1","1","UB 21000A8","100ms","1",,,,"","1"
"TPR1_PT",,"Int32","4","1","UW 21000D0","100ms","1",,,,"","1"
"TPR1_Rst",,"Bool","1","1","UB 21000A9","100ms","1",,,,"","1"
"TPR1_Q",,"Bool","1","1","UB 21000AA","100ms","1",,,,"","1"
"TPR1_ET",,"Int32","4","1","UW 21000F0","100ms","1",,,,"","1"
"iAOCalStatus",,"Int16","2","1","UW 21061B0","100ms","1",,,,"","1"
"iAICalStatus",,"Int16","2","1","UW 21006A0","100ms","1",,,,"","1"
"xRdCfg",,"Bool","1","1","UB 21000AE","100ms","1",,,,"","1"
"xRdCfgDone",,"Bool","1","1","UB 21000AF","100ms","1",,,,"","1"
"xRdCfgError",,"Bool","1","1","UB 2100097","100ms","1",,,,"","1"
"iRdCfgErrorId",,"Int16","2","1","UW 2101A90","100ms","1",,,,"","1"
"xWrCfg1",,"Bool","1","1","UB 2100094","100ms","1",,,,"","1"
"xWrCfg2",,"Bool","1","1","UB 21000C2","100ms","1",,,,"","1"
"iWrBuf[0]",,"Int16","2","1","UW 21069F0","100ms","1",,,,"","1"
"iWrBuf[1]",,"Int16","2","1","UW 2106A00","100ms","1",,,,"","1"
"iWrBuf[2]",,"Int16","2","1","UW 2106A10","100ms","1",,,,"","1"
